title,author,release_year,audience,genre,book_length,rating,number_of_ratings,read,
"Always Only You (Bergman Brothers, #2)",Chloe Liese,2020,Adult, Contemporary Romance, 289 pages,4.05,24067,,
"American Queen (New Camelot Trilogy, #1)",Sierra Simone,2016,Adult, Contemporary Romance, 395 pages,3.95,28416,,
"American Royals (American Royals, #1)",Katharine McGee,2019,Young Adult, Contemporary, 343 pages,3.84,94008,TRUE,
Amy & Roger's Epic Detour ,Morgan Matson,2010,Young Adult, Fiction, 354 pages,3.98,93280,,
An Abundance of Katherines ,John Green,2006,Adult, Historical Fiction, 820 pages,3.53,504243,TRUE,
"An Echo in the Bone (Outlander, #7)",Diana Gabaldon,2009,Young Adult, Fantasy, 464 pages,4.43,139381,,
"An Ember in the Ashes (An Ember in the Ashes, #1)",Sabaa Tahir,2015,Young Adult, Fantasy, 304 pages,4.26,255988,,
An Enchantment of Ravens,Margaret  Rogerson,2017,Adult, Fantasy, 300 pages,3.65,73870,,
"An Extraordinary Union (The Loyal League, #1)",Alyssa Cole,2017,Adult, Historical Romance, 384 pages,3.83,7756,,
"An Offer From a Gentleman (Bridgertons, #3)",Julia Quinn,2001,Adult, Urban Fantasy, 326 pages,3.95,192481,TRUE,
"Angelfall (Penryn & the End of Days, #1)",Susan Ee,2011,Adult, Urban Fantasy, 339 pages,4.11,184716,,
"Angels' Blood (Guild Hunter, #1)",Nalini Singh,2009,Adult, Contemporary, 752 pages,4.07,87377,,
Angels Fall ,Nora Roberts,2006,Young Adult, Horror, 316 pages,4.02,46663,,
"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,2010,Young Adult, Horror, 320 pages,3.99,429112,TRUE,
"Anna Dressed in Blood (Anna, #1)",Kendare Blake,2011,Adult, Historical Romance, 368 pages,3.91,103192,,
Anna Karenina (Paperback),Leo Tolstoy,1878,Adult, Historical Romance, 368 pages,4.08,769949,TRUE,
"Any Duchess Will Do (Spindle Cove, #4)",Tessa Dare,2013,Adult, Contemporary Romance, 400 pages,4.04,23816,,
"Any Duchess Will Do (Spindle Cove, #4)",Tessa Dare,2013,Adult, Contemporary Romance, 405 pages,4.04,23816,,
"Any Duchess Will Do (Spindle Cove, #4)",Tessa Dare,2013,Adult, Contemporary Romance, 336 pages,4.04,23816,,
"Any Duchess Will Do (Spindle Cove, #4)",Tessa Dare,2013,Adult, Historical Fiction, 464 pages,4.04,23816,,
Anyone But You (Mass Market Paperback),Jennifer Crusie,1996,Adult, Paranormal Romance, 416 pages,3.81,20167,,
Arabella (Paperback),Georgette Heyer,1949,Adult, Paranormal Romance, 336 pages,4.08,18588,,
"Archangel's Consort (Guild Hunter, #3)",Nalini Singh,2011,Young Adult, Fiction, 383 pages,4.22,41665,,
"Archangel's Kiss (Guild Hunter, #2)",Nalini Singh,2010,Young Adult, Fiction, 448 pages,4.2,55634,,
Archer's Voice (ebook),Mia Sheridan,2014,Adult, Contemporary Romance, 408 pages,4.33,183482,,
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,2012,Adult, Contemporary Romance, 400 pages,4.34,476866,TRUE,
"Aristotle and Dante Dive into the Waters of the World (Aristotle and Dante, #2)",Benjamin Alire Sáenz,2021,Adult, Paranormal Romance, 400 pages,4.15,51341,,
"At First Sight (Jeremy Marsh & Lexie Darnell, #2)",Nicholas Sparks,2004,Adult, Paranormal Romance, 447 pages,3.84,84338,,
"At Grave's End (Night Huntress, #3)",Jeaniene Frost,2008,Adult, Contemporary Romance, 336 pages,4.29,87401,,
Atonement (Paperback),Ian McEwan,2001,Adult, Fantasy, 336 pages,3.92,485925,TRUE,
Attachments (Hardcover),Rainbow Rowell,2011,Young Adult, Fiction, 372 pages,3.88,190317,TRUE,
"Austenland (Austenland, #1)",Shannon Hale,2007,Young Adult, Fiction, 384 pages,3.55,86635,TRUE,
Autoboyography (Hardcover),Christina Lauren,2017,Young Adult, Romance, 304 pages,4.18,47602,,
Ayesha at Last (Paperback),Uzma Jalaluddin,2018,Young Adult, Romance, 320 pages,3.89,21810,TRUE,
"Backstage Pass (Sinners on Tour, #1)",Olivia Cunning,2010,Adult, Contemporary Romance, 304 pages,4,60233,,
"Barbarian Alien (Ice Planet Barbarians, #2)",Ruby Dixon,2015,Adult, Contemporary Romance, 396 pages,3.81,42699,,
"Barbarian Lover (Ice Planet Barbarians, #3)",Ruby Dixon,2015,Adult, Fantasy, 488 pages,3.9,31023,,
"Bared to You (Crossfire, #1)",Sylvia Day,2012,Adult, Romance, 375 pages,4.16,498707,,
"Battle Royal (Palace Insiders, #1)",Lucy  Parker,2021,Adult, Contemporary Romance, 378 pages,3.84,8793,TRUE,
"Be with Me (Wait for You, #2)",Jennifer L. Armentrout,2014,Adult, Paranormal Romance, 399 pages,4.12,46763,,
Beach Read (Paperback),Emily Henry,2020,Adult, Paranormal Romance, 384 pages,4.06,607628,TRUE,
"Beard in Mind (Winston Brothers, #4)",Penny Reid,2017,Young Adult, Fiction, 480 pages,4.2,22558,,
"Beard Science (Winston Brothers, #3)",Penny Reid,2016,Adult, Paranormal Romance, 292 pages,4.41,31256,,
"Beastly (Beastly, #1; Kendra Chronicles, #1)",Alex Flinn,2007,Adult, Paranormal Romance, 464 pages,3.83,174950,,
"Beautiful Bastard (Beautiful Bastard, #1)",Christina Lauren,2013,Adult, Paranormal Romance, 314 pages,3.96,187771,,
"Beautiful Bitch (Beautiful Bastard, #1.5)",Christina Lauren,2013,Adult, Fantasy, 352 pages,3.87,44756,,
"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia,2009,Young Adult, Fiction, 342 pages,3.76,578256,,
"Beautiful Darkness (Caster Chronicles, #2)",Kami Garcia,2010,Young Adult, Fiction, 368 pages,3.83,132770,,
"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,2011,Adult, Paranormal Romance, 372 pages,4.04,628815,,
"Beautiful Oblivion (The Maddox Brothers, #1)",Jamie McGuire,2014,Adult, Romance, 375 pages,4.09,74833,,
"Beautiful Player (Beautiful Bastard, #3)",Christina Lauren,2013,Adult, Historical Romance, 371 pages,4.28,67011,,
"Beautiful Secret (Beautiful Bastard, #4)",Christina Lauren,2015,Adult, Historical Romance, 433 pages,4.06,32632,,
"Beautiful Stranger (Beautiful Bastard, #2)",Christina Lauren,2013,Adult, Historical Romance, 464 pages,4.16,86066,,
"Beautiful World, Where Are You (Hardcover)",Sally Rooney,2021,Adult, Contemporary Romance, 384 pages,3.59,250892,,
"Beauty and the Blacksmith  (Spindle Cove, #3.5)",Tessa Dare,2013,Adult, Mafia Romance, 292 pages,3.76,11041,,
"Beauty and the Mustache (Knitting in the City, #4; Winston Brothers, #0)",Penny Reid,2014,Young Adult, Fiction, 185 pages,4.21,27550,,
"Beauty from Pain (Beauty, #1)",Georgia Cates,2013,New Adult, Romance, 384 pages  ,3,55542,,
Beauty: A Retelling of the Story of Beauty and the Beast (Paperback),Robin McKinley,1978,Young Adult, Fantasy, 336 pages  ,3,77679,,
"Because of Low (Sea Breeze, #2)",Abbi Glines,2012,New Adult, Romance, 336 pages  ,3,55748,,
"Because of Miss Bridgerton (Rokesbys, #1)",Julia Quinn,2016,Adult, Historical Romance, 375 pages  ,3,46317,,
"Bed of Roses (Bride Quartet, #2)",Nora Roberts,2009,Adult, Romance, 352 pages  ,3,60829,,
Before I Fall (Paperback),Lauren Oliver,2010,Young Adult, Fiction, 470 pages  ,3,325074,TRUE,
"Before Jamaica Lane (On Dublin Street, #3)",Samantha Young,2014,New Adult, Romance, 448 pages  ,3,42069,,
Before We Were Strangers (Paperback),Renee Carlino,2015,New Adult, Romance, 320 pages  ,3,55835,,
"Below Zero (The STEMinist Novellas, #3)",Ali Hazelwood,2022,Adult, Contemporary Romance, 350 pages  ,3,38828,TRUE,
Bet Me (Mass Market Paperback),Jennifer Crusie,2004,Adult, Romance, 391 pages  ,3,90477,,
"Betrayed (House of Night, #2)",P.C. Cast,2007,Young Adult, Paranormal, 310 pages  ,3,257157,,
Better Than the Movies (Hardcover),Lynn Painter,2021,Adult, Contemporary Romance, 290 pages  ,3,56775,TRUE,
"Beyond the Highland Mist (Highlander, #1)",Karen Marie Moning,1999,Adult, Paranormal Romance, 366 pages  ,3,69756,,
"Big Rock (Big Rock, #1)",Lauren Blakely,2016,Adult, Romance, 234 pages  ,3,32326,,
Birthday Girl (ebook),Penelope Douglas,2018,Young Adult, Paranormal, 400 pages  ,3,155589,,
"Bitten (Otherworld, #1)",Kelley Armstrong,2001,New Adult, Romance, 315 pages  ,3,99541,,
"Bittersweet (True North, #1)",Sarina Bowen,2016,Adult, Romance, 481 pages  ,3,19508,,
Black Hills (Hardcover),Nora Roberts,2009,Adult, Romance, 388 pages  ,3,38453,,
"Black Rose (In the Garden, #2)",Nora Roberts,2005,Adult, Romance, 488 pages  ,3,39612,,
Blackmoore (Paperback),Julianne Donaldson,2013,Adult, Paranormal Romance, 341 pages  ,3,27410,,
"Blameless (Parasol Protectorate, #3)",Gail Carriger,2010,Adult, Paranormal Romance, 368 pages  ,3,39484,,
"Blood Bound (Mercy Thompson, #2)",Patricia Briggs,2007,Young Adult, Fantasy, 421 pages  ,3,121647,,
"Blood Brothers (Sign of Seven, #1)",Nora Roberts,2007,Young Adult, Fantasy, 400 pages  ,3,52509,,
"Blood Promise (Vampire Academy, #4)",Richelle Mead,2009,Young Adult, Fantasy, 391 pages  ,3,299530,,
"Bloodfever (Fever, #2)",Karen Marie Moning,2007,Young Adult, Fantasy, 400 pages  ,3,103842,,
"Bloodlines (Bloodlines, #1)",Richelle Mead,2011,Young Adult, Fantasy, 391 pages  ,3,180768,,
Bloom (Paperback),Kevin Panetta,2019,Young Adult, Fantasy, 407 pages  ,3,38717,,
"Blue Dahlia (In the Garden, #1)",Nora Roberts,2004,Young Adult, Romance, 384 pages  ,3,70356,,
"Blue Lily, Lily Blue (The Raven Cycle, #3)",Maggie Stiefvater,2014,Adult, Contemporary Romance, 368 pages  ,3,148311,,
"Blue-Eyed Devil (Travises, #2)",Lisa Kleypas,2008,Young Adult, Fiction, 423 pages  ,3,35870,,
"Blurred Lines (Love Unexpectedly, #1)",Lauren Layne,2015,Adult, Contemporary Romance, 320 pages  ,3,24337,,
"Bombshell (Hell's Belles, #1)",Sarah MacLean,2021,Adult, Romance, 442 pages  ,3,8823,,
Book Lovers (Hardcover),Emily Henry,2022,Adult, Mafia Romance, 380 pages  ,3,390789,TRUE,
"Born in Fire (Born In Trilogy, #1)",Nora Roberts,1994,Young Adult, LGBTQ+, 185 pages  ,3,71920,,
"Born in Ice (Born In Trilogy, #2)",Nora Roberts,1995,Adult, Historical Romance, 382 pages  ,3,36638,,
"Born in Shame (Born In Trilogy, #3)",Nora Roberts,1996,Young Adult, Romance, 379 pages  ,3,34165,,
Bossman (Kindle Edition),Vi Keeland,2016,Adult, Paranormal Romance, 382 pages  ,3,63756,,
"Bound by Honor (Born in Blood Mafia Chronicles, #1)",Cora Reilly,2014,Adult, Paranormal Romance, 404 pages  ,3,77006,,
Boy Meets Boy (Paperback),David Levithan,2003,Young Adult, Fiction, 256 pages  ,3,72807,,
"Boyfriend Material (London Calling, #1)",Alexis  Hall,2020,Adult, Romance, 576 pages  ,3,81106,,
"Boyfriend Material (London Calling, #1)",Alexis  Hall,2020,Young Adult, Fantasy, 462 pages  ,3,81105,,
"Branded by Fire (Psy-Changeling, #6)",Nalini Singh,2009,Young Adult, Fiction, 300 pages  ,3,31242,,
"Brazen and the Beast (The Bareknuckle Bastards, #2)",Sarah MacLean,2019,Young Adult, Romance, 400 pages  ,3,13241,,
"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,2008,Young Adult, Romance, 322 pages  ,3,1544376,,
"Breathe (Colorado Mountain, #4)",Kristen Ashley,2012,Young Adult, Fantasy, 406 pages  ,3,36423,,
"Breathe (Sea Breeze, #1)",Abbi Glines,2011,Young Adult, Fantasy, 372 pages  ,3,82311,,
"Bridget Jones: The Edge of Reason (Bridget Jones, #2)",Helen Fielding,1999,Young Adult, Fantasy, 361 pages  ,3,107531,,
"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,1996,Young Adult, Fantasy, 370 pages  ,3,935257,,
"Bright Side (Bright Side, #1)",Kim Holden,2014,Young Adult, Fantasy, 369 pages  ,3,45290,,
"Bringing Down the Duke (A League of Extraordinary Women, #1)",Evie Dunmore,2019,Adult, Paranormal Romance, 291 pages  ,3,63015,TRUE,
"Broken Prince (The Royals, #2)",Erin Watt,2016,Adult, Paranormal Romance, 562 pages  ,3,85058,,
Brutal Prince (Brutal Birthright #1),Sophie Lark,2020,Adult, Contemporary Romance, 318 pages  ,3,59077,,
"Bully (Fall Away, #1)",Penelope Douglas,2013,Adult, Paranormal Romance, 376 pages  ,3,161031,,
"Burn for Me (Hidden Legacy, #1)",Ilona Andrews,2014,Young Adult, Fiction, 458 pages  ,3,53398,,
By a Thread (Kindle Edition),Lucy Score,2020,Adult, Romance, 333 pages  ,3,52857,,
By the Book (Meant to Be #2),Jasmine Guillory,2022,Adult, Romance, 400 pages  ,3,16655,,
By Your Side (Paperback),Kasie West,2017,Young Adult, Paranormal Romance, 400 pages  ,3,47582,,
"Call Me By Your Name (Call Me By Your Name, #1)",André Aciman,2007,Young Adult, Romance, 229 pages  ,3,389241,,
"Call Me Irresistible (Wynette, Texas, #6)",Susan Elizabeth Phillips,2010,Young Adult, Fiction, 229 pages  ,3,23057,,
Can You Keep a Secret? (Paperback),Sophie Kinsella,2003,Adult, Romance, 403 pages  ,3,417862,,
"Captivated by You (Crossfire, #4)",Sylvia Day,2014,Young Adult, Fantasy, 600 pages  ,3,104998,,
"Captive in the Dark (The Dark Duet, #1)",C.J. Roberts,2011,Young Adult, Fantasy, 496 pages  ,3,69921,,
"Captive Prince (Captive Prince, #1)",C.S. Pacat,2013,Young Adult, Fantasy, 541 pages  ,3,79264,,
"Captive Prince: Volume Two (Captive Prince, #2)",C.S. Pacat,2013,Young Adult, Fantasy, 560 pages  ,3,57475,,
"Caraval (Caraval, #1)",Stephanie Garber,2016,Young Adult, Fantasy, 572 pages  ,3,294117,,
Caressed by Ice (Psy-Changeling #3),Nalini Singh,2007,Young Adult, Fantasy, 541 pages  ,3,38179,,
Carolina Moon (Mass Market Paperback),Nora Roberts,2000,Young Adult, Fantasy, 481 pages  ,3,43099,,
"Carry On (Simon Snow, #1)",Rainbow Rowell,2015,Young Adult, Fantasy, 528 pages  ,3,280623,TRUE,
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,2009,Young Adult, Fantasy, 570 pages  ,3,3064538,TRUE,
Catching Jordan (Paperback),Miranda Kenneally,2011,Young Adult, Fantasy, 544 pages  ,3,61749,,
"Cemetery Boys (Cemetery Boys, #1)",Aiden Thomas,2020,Adult, Paranormal Romance, 310 pages  ,3,63034,,
"Chain Reaction (Perfect Chemistry, #3)",Simone Elkeles,2011,Adult, Historical Romance, 352 pages,3,62409,,
"Champion (Legend, #3)",Marie Lu,2013,Young Adult,"Young Adult, 390 ",,4.33,199846,,
"Changeless (Parasol Protectorate, #2)",Gail Carriger,2010,Adult,"Steampunk, 386 ",389,3.99,44786,,
"Chasing Cassandra (The Ravenels, #6)",Lisa Kleypas,2020,Adult,"Historical Romance, 384",384,4.14,24023,,
Chasing Fire (Hardcover),Nora Roberts,2011,Young Adult,"Romantic Suspense, 320 ",,4.13,38137,,
"Checkmate (Neighbor from Hell, #3)",R.L. Mathewson,2012,Adult,Contemporary Romance,224,4.13,47848,,
"Checkmate (Neighbor from Hell, #3)",R.L. Mathewson,2012,Adult,Contemporary Romance,216,4.13,47848,,
"Chesapeake Blue (Chesapeake Bay Saga, #4)",Nora Roberts,2002,Adult,Romance,320,4.19,33157,,
"China Rich Girlfriend (Crazy Rich Asians, #2)",Kevin Kwan,2015,Adult,Contemporary Romance,496,3.84,188682,,
"Chocolat (Chocolat, #1)",Joanne Harris,1999,Adult,Contemporary Romance,321,3.96,121017,,
"Christmas Eve at Friday Harbor (Friday Harbor, #1)",Lisa Kleypas,2010,Adult,Science Fiction,390,3.76,19147,,
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,2012,Young Adult,Urban Fantasy,496,4.13,831959,TRUE,
"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,2008,Young Adult,Urban Fantasy,485,4.13,865831,,
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,2007,Young Adult,Urban Fantasy,541,4.08,1860270,TRUE,
"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,2011,Young Adult,Urban Fantasy,576,4.09,559039,,
"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,2009,Young Adult,Urban Fantasy,534,4.29,901506,,
"City of Heavenly Fire (The Mortal Instruments, #6)",Cassandra Clare,2014,Young Adult,Urban Fantasy,476,4.4,350450,,
"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,2012,Young Adult,Urban Fantasy,481,4.23,493192,,
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,2010,Young Adult,Urban Fantasy,608,4.32,776513,,
"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,2011,Young Adult,Urban Fantasy,438,4.43,515519,,
"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,2013,Young Adult,Paranormal Romance,292,4.56,409211,,
"Club Dead (Sookie Stackhouse, #3)",Charlaine Harris,2003,Young Adult,Contemporary Romance,336,4.01,230201,,
"Cold-Hearted Rake (The Ravenels, #1)",Lisa Kleypas,2015,Adult,New Adult,320,3.82,36409,,
"Collide (Collide, #1)",Gail McHugh,2013,Adult,Contemporary Romance,320,4.2,64734,,
"Come Away with Me (With Me in Seattle, #1)",Kristen Proby,2012,Adult,Chick Lit,368,3.91,61231,,
Confess (Paperback),Colleen Hoover,2015,Adult,Contemporary Romance,367,4.2,273781,,
"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,2000,Adult,Romantic Comedy,333,3.68,705542,,
"Conventionally Yours (True Colors, #1)",Annabeth Albert,2020,Adult,Contemporary Romance,325,3.88,11526,,
Conversations with Friends (Kindle Edition),Sally Rooney,2017,Adult,Erotic Romance,468,3.81,338938,TRUE,
"Corrupt (Devil's Night, #1)",Penelope Douglas,2015,Adult,Young Adult,448,3.81,138238,,
Cotillion (Paperback),Georgette Heyer,1953,Adult,Young Adult,390,4.08,15398,,
"Count Your Lucky Stars (Written in the Stars, #3)",Alexandria Bellefleur,2022,Adult,Contemporary Romance,408,4.03,10675,,
Counting Down with You (Hardcover),Tashie Bhuiyan,2021,Adult,Contemporary Romance,384,4.09,15123,,
"Covet (Fallen Angels, #1)",J.R. Ward,2009,Adult,Paranormal Romance,464,3.91,49252,,
"Crash (Crash, #1)",Nicole  Williams,2012,Young Adult,Young Adult,405,3.97,60399,,
"Crave (Crave, #1)",Tracy Wolff,2020,Young Adult,Young Adult,416,3.81,97338,,
"Crazy Rich Asians (Crazy Rich Asians, #1)",Kevin Kwan,2013,Adult,Contemporary Romance,352,3.89,430349,TRUE,
"Crazy Stupid Bromance (Bromance Book Club, #3)",Lyssa Kay Adams,2020,Adult,Fantasy,550,3.91,25807,,
Credence (Paperback),Penelope Douglas,2020,Adult,Young Adult,478,3.68,102715,,
"Crescendo (Hush, Hush, #2)",Becca Fitzpatrick,2010,Young Adult,Young Adult,432,4,307676,,
"Cress (The Lunar Chronicles, #3)",Marissa Meyer,2014,Young Adult,Young Adult,560,4.42,332040,,
"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,2016,Young Adult,Young Adult,546,4.61,477098,,
"Crossed (Matched, #2)",Ally Condie,2011,Young Adult,Young Adult,367,3.52,234069,TRUE,
"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,2013,Young Adult,Young Adult,418,4.36,554931,,
Cruel Beauty (Hardcover),Rosamund Hodge,2014,Adult,Fantasy,346,3.66,87119,,
"Cry Wolf (Alpha & Omega, #1)",Patricia Briggs,2008,Adult,Urban Fantasy,290,4.12,97790,,
Daisy Jones & The Six (Hardcover),Taylor Jenkins Reid,2019,Adult,Historical Fiction,368,4.24,740691,TRUE,
"Dance of the Gods (Circle Trilogy, #2)",Nora Roberts,2006,Adult,Paranormal Romance,314,4.16,29877,,
"Dance of Thieves (Dance of Thieves, #1)",Mary E. Pearson,2018,Young Adult,Romantic Suspense,342,4.21,70427,,
"Dance Upon the Air (Three Sisters Island, #1)",Nora Roberts,2001,Adult,Paranormal Romance,368,4.2,68172,,
"Dance with the Devil (Dark-Hunter, #3)",Sherrilyn Kenyon,2003,Adult,Historical Romance,384,4.37,64073,,
"Dancing at Midnight (The Splendid Trilogy, #2)",Julia Quinn,1995,Adult,Young Adult,456,3.77,15464,,
"Dare You To (Pushing the Limits, #2)",Katie McGarry,2013,Adult,Romance,432,4.15,41212,,
"Daring to Dream (Dream Trilogy, #1)",Nora Roberts,1996,Adult,Paranormal Romance,368,4.04,25394,,
"Dark Desires After Dusk (Immortals After Dark, #5)",Kresley Cole,2008,Adult,Paranormal Romance,393,4.34,46777,,
"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward,2005,Adult,Paranormal Romance,361,4.16,320970,,
"Dark Needs at Night's Edge (Immortals After Dark, #4)",Kresley Cole,2008,Adult,Paranormal Romance,352,4.29,49180,,
"Dark Prince (Dark, #1)",Christine Feehan,1999,Adult,Paranormal Romance,342,3.99,55659,,
"Dark Witch (The Cousins O'Dwyer Trilogy, #1)",Nora Roberts,2013,Adult,Urban Fantasy,342,3.95,60592,,
"Darkfever (Fever, #1)",Karen Marie Moning,2006,Adult,Young Adult,272,4.06,173720,,
"Dash & Lily's Book of Dares (Dash & Lily, #1)",Rachel Cohn,2010,Young Adult,Romantic Comedy,368,3.76,90591,,
"Dating Dr. Dil (If Shakespeare was an Auntie, #1)",Nisha Sharma,2022,Adult,Romance,368,3.73,29881,,
Dating You / Hating You (Paperback),Christina Lauren,2017,Adult,Contemporary Romance,288,3.63,27840,,
"Dating-ish (Knitting in the City, #6)",Penny Reid,2017,Adult,Young Adult,448,4.25,17951,,
"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Laini Taylor,2011,Young Adult,Fantasy,560,3.99,352283,,
"Daughter of the Forest  (Sevenwaters, #1)",Juliet Marillier,1999,Adult,Young Adult,496,4.27,61061,,
"Daughter of the Pirate King (Daughter of the Pirate King, #1)",Tricia Levenseller,2017,Young Adult,Urban Fantasy,512,4.01,128969,,
"Days of Blood & Starlight (Daughter of Smoke & Bone, #2)",Laini Taylor,2012,Adult,Urban Fantasy,325,4.14,156341,,
"Dead and Gone (Sookie Stackhouse, #9)",Charlaine Harris,2009,Adult,Urban Fantasy,448,4.01,183547,,
"Dead as a Doornail (Sookie Stackhouse, #5)",Charlaine Harris,2005,Adult,Urban Fantasy,352,4,212808,,
"Dead in the Family (Sookie Stackhouse, #10)",Charlaine Harris,2010,Adult,Urban Fantasy,320,3.89,158836,,
"Dead Reckoning (Sookie Stackhouse, #11)",Charlaine Harris,2011,Adult,Contemporary Romance,352,3.8,122829,,
"Dead to the World (Sookie Stackhouse, #4)",Charlaine Harris,2004,Adult,Contemporary Romance,352,4.12,253637,,
"Dead Until Dark (Sookie Stackhouse, #1)",Kate Stayman-London,2001,Adult,Contemporary Romance,576,3.96,522451,,
Dear Aaron (Kindle Edition),Mariana Zapata,2017,Adult,Contemporary Romance,357,3.95,40646,,
Dear Ava (Kindle Edition),Ilsa Madden-Mills,2020,Adult,Contemporary Romance,392,4.15,41261,,
Dear John (Hardcover),Nicholas Sparks,2006,Adult,Young Adult,352,4.04,577789,,
"Deep (Stage Dive, #4)",Kylie Scott,2015,Adult,Urban Fantasy,576,4.03,38619,,
"Definitely Dead (Sookie Stackhouse, #6)",Charlaine Harris,2006,Adult,Historical Romance,384,4.01,198979,,
"Delilah Green Doesn't Care (Bright Falls, #1)",Ashley Herring Blake,2022,Adult,Romantic Suspense,382,4.2,26876,,
"Delirium (Delirium, #1)",Lauren Oliver,2011,Adult,Paranormal Romance,361,3.96,451316,,
"Demon from the Dark (Immortals After Dark, #9)",Kresley Cole,2010,Adult,Young Adult,109,4.43,46053,,
"Desperate Duchesses (Desperate Duchesses, #1)",Eloisa James,2007,Adult,Historical Romance,341,3.67,10631,,
"Desperate Measures (Wicked Villains, #1)",Katee Robert,2019,Adult,Historical Romance,384,3.55,27506,,
"Destined for an Early Grave (Night Huntress, #4)",Jeaniene Frost,2009,Adult,Romantic Suspense,343,4.32,83078,,
"Destroy Me (Shatter Me, #1.5)",Tahereh Mafi,2012,Young Adult,Contemporary Romance,320,4.11,137383,,
"Devil in Spring (The Ravenels, #3)",Lisa Kleypas,2017,Adult,Contemporary Romance,300,4.09,34046,,
"Devil in Winter (Wallflowers, #3)",Lisa Kleypas,2006,Adult, Historical Romance,368,4.24,77013,,
"Devil's Bride (Cynster, #1)",Stephanie Laurens,1998,Adult, Historical Romance,441,4.08,20804,,
"Devil's Cub (Alastair-Audley, #2)",Georgette Heyer,1932,Adult, Historical Romance,304,4.22,15080,,
"Devil's Daughter (The Ravenels, #5)",Lisa Kleypas,2019,Adult, Historical Romance,374,4.15,23397,,
Dial A for Aunties (Aunties #1),Jesse Q. Sutanto,2021,Adult, Mystery/Comedy,320,3.76,58738,,
"Dirty (Dive Bar, #1)",Kylie Scott,2016,Adult, Contemporary Romance,288,3.89,25954,,
Dirty Letters (Kindle Edition),Vi Keeland,2019,Adult, Contemporary Romance,300,4.05,36807,,
"Dirty Rowdy Thing (Wild Seasons, #2)",Christina Lauren,2014,Adult, Contemporary Romance,336,4.2,28108,,
"Divergent (Divergent, #1)",Veronica Roth,2011,Young Adult, Dystopian,487,4.16,3540949,TRUE,
"Do You Want to Start a Scandal (Spindle Cove, #5; Castles Ever After, #4)",Tessa Dare,2016,Adult, Historical Romance,384,4.07,18892,,
Don't You Forget About Me (Kindle Edition),Mhairi McFarlane,2019,Adult, Contemporary Romance,432,3.87,40746,,
"Down London Road (On Dublin Street, #2)",Samantha Young,2013,Adult, Contemporary Romance,415,4.21,52006,,
"Down to You (The Bad Boys, #1)",Michelle Leighton,2013,Adult, Paranormal Romance,344,4.03,66150,,
"Dragon Actually (Dragon Kin, #1)",G.A. Aiken,2004,Adult, Paranormal Romance,312,3.92,28733,,
"Dragon Bound (Elder Races, #1)",Thea Harrison,2011,Adult, Historical Fiction/Romance,743,4.08,48193,,
"Dragonfly in Amber (Outlander, #2)",Diana Gabaldon,1992,Adult, Urban Fantasy,752,4.33,327326,,
"Dream a Little Dream (Chicago Stars, #4)",Susan Elizabeth Phillips,1998,Adult, Historical Romance,384,4.17,33460,,
"Dreamfever (Fever, #4)",Karen Marie Moning,2009,Young Adult, Fantasy,613,4.38,98363,,
"Dreaming of You (The Gamblers of Craven's, #2)",Lisa Kleypas,1994,Adult, Contemporary Romance,400,4.18,40674,,
"Dreams of Gods & Monsters (Daughter of Smoke & Bone, #3)",Laini Taylor,2014,Adult, Contemporary Romance,880,4.13,102978,,
"Driven (Driven, #1)",K. Bromberg,2013,Young Adult, Romance,384,4.26,59370,,
"Drums of Autumn (Outlander, #4)",Diana Gabaldon,1996,Young Adult, Contemporary Romance,349,4.34,232769,,
Dumplin' (Dumplin' #1),Julie   Murphy,2015,Adult, Romance,352,3.9,83838,,
"Easy (Contours of the Heart, #1)",Tammara Webber,2012,Adult, Contemporary Romance,256,4.08,225554,,
"Eat, Pray, Love (Paperback)",Elizabeth Gilbert,2006,Adult, Romance,320,3.6,1638005,,
"Edenbrooke (Edenbrooke, #1)",Julianne Donaldson,2012,Adult, Contemporary Romance,368,4.32,47990,,
"Effortless (Thoughtless, #2)",S.C. Stephens,2011,Young Adult, Contemporary Romance,310,4.35,115071,,
