title,author,release_year,audience,genre,book_length,rating,number_of_ratings,read,
"Twisted Palace (The Royals, #3)",Erin Watt,2016,Adult, Contemporary Romance, 390 pages,3.93,67980,,
"Twisted Perfection (Rosemary Beach, #5; Perfection, #1)",Abbi Glines,2013,Adult, Contemporary Romance, 400 pages,4.23,66094,,
"Uglies (Uglies, #1)",Scott Westerfeld,2005,Young Adult, Contemporary Romance, 288 pages,3.85,622785,,
Ugly Love (Kindle Edition),Colleen Hoover,2014,Adult, Historical Romance, 432 pages,4.22,929379,TRUE,
Under Locke (Kindle Edition),Mariana Zapata,2014,Adult, Contemporary Romance, 388 pages,3.98,70425,,
"Under One Roof (The STEMinist Novellas, #1)",Ali Hazelwood,2022,Adult, Contemporary Romance, 408 pages,3.75,69278,TRUE,
"Under the Never Sky (Under the Never Sky, #1)",Veronica Rossi,2011,Adult, Contemporary Romance, 382 pages,3.99,113454,,
Under the Whispering Door (Hardcover),T.J. Klune,2021,Adult, Contemporary Romance, 344 pages,4.19,102049,,
Under the Whispering Door (Hardcover),T.J. Klune,2021,Young Adult, Contemporary Romance, 464 pages,4.19,102049,,
"Undercover Bromance (Bromance Book Club, #2)",Lyssa Kay Adams,2020,Adult, Contemporary Romance, 343 pages,3.89,37661,,
"Unearthly (Unearthly, #1)",Cynthia Hand,2011,Adult, Contemporary Romance, 456 pages,4.01,126498,,
"Unravel Me (Shatter Me, #2)",Tahereh Mafi,2013,Adult, Paranormal Romance, 384 pages,4.18,310275,,
"Until Friday Night (The Field Party, #1)",Abbi Glines,2015,Adult, Historical Romance, 368 pages,3.92,55583,,
"Until November (Until, #1)",Aurora Rose Reynolds,2013,Adult, Paranormal Romance, 356 pages,4.09,50523,,
"Until You (Fall Away, #1.5)",Penelope Douglas,2013,Adult, Historical Romance, 388 pages,4.25,48336,,
"Unveiled (Turner, #1)",Courtney Milan,2011,Adult, Paranormal Romance, 384 pages,3.86,9105,,
Uprooted (Hardcover),Naomi Novik,2015,Adult, Historical Romance, 432 pages,4.05,209681,TRUE,
"Us (Him, #2)",Sarina Bowen,2016,Adult, Paranormal Romance, 359 pages,4.32,26412,,
"Valley of Silence (Circle Trilogy, #3)",Nora Roberts,2006,Adult, Paranormal Romance, 309 pages,4.24,28563,,
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,2007,Adult, Contemporary Romance, 277 pages,4.11,614151,,
Venetia (Paperback),Georgette Heyer,1958,Young Adult, Contemporary Fiction, 288 pages,4.11,16407,,
Verity (Paperback),Colleen Hoover,2018,Young Adult, Contemporary Romance, 448 pages,4.42,1214264,,
"Vicious (Sinners of Saint, #1)",L.J. Shen,2016,Adult, Historical Romance, 384 pages,4.01,111719,,
"Virgin River (Virgin River, #1)",Robyn Carr,2007,Adult, Paranormal Romance, 360 pages,4.02,61829,,
"Vision in White (Bride Quartet, #1)",Nora Roberts,2009,Adult, Contemporary Romance, 416 pages,4.12,134276,,
"Visions of Heat (Psy-Changeling, #2)",Nalini Singh,2007,Adult, Contemporary Romance, 352 pages,4.08,38315,,
"Voyager (Outlander, #3)",Diana Gabaldon,1993,Adult, Contemporary Romance, 384 pages,4.38,286958,,
Wait for It (Kindle Edition),Mariana Zapata,2016,Adult, Paranormal Romance, 353 pages,4.31,69159,,
"Wait for You (Wait for You, #1)",Jennifer L. Armentrout,2013,Adult, Paranormal Romance, 361 pages,4.16,152429,,
"Waiting for Tom Hanks (Waiting for Tom Hanks, #1)",Kerry Winfrey,2019,Adult, Contemporary Romance, 354 pages,3.51,23413,,
